KRA submission ID,Experiment ID,Experiment Access type,Run ID,Library Layout,file path,KBQC 여부,검증파일명 목록
KRA2462478,KAE24063521,Public,KAR24063521,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567261/221_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567261/221_2.fq.gz,완료,"221_1.fq.gz,221_2.fq.gz"
KRA2462478,KAE24063520,Public,KAR24063520,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567260/220_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567260/220_2.fq.gz,완료,"220_1.fq.gz,220_2.fq.gz"
KRA2462478,KAE24063519,Public,KAR24063519,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567259/147_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567259/147_2.fq.gz,완료,"147_1.fq.gz,147_2.fq.gz"
KRA2462478,KAE24063518,Public,KAR24063518,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567258/146_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567258/146_2.fq.gz,완료,"146_1.fq.gz,146_2.fq.gz"
KRA2462478,KAE24063517,Public,KAR24063517,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567257/145_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567257/145_2.fq.gz,완료,"145_1.fq.gz,145_2.fq.gz"
KRA2462478,KAE24063516,Public,KAR24063516,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567256/144_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567256/144_2.fq.gz,완료,"144_1.fq.gz,144_2.fq.gz"
KRA2462478,KAE24063515,Public,KAR24063515,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567255/143_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567255/143_2.fq.gz,완료,"143_1.fq.gz,143_2.fq.gz"
KRA2462478,KAE24063514,Public,KAR24063514,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567254/142_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567254/142_2.fq.gz,완료,"142_1.fq.gz,142_2.fq.gz"
KRA2462478,KAE24063513,Public,KAR24063513,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567253/141_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567253/141_2.fq.gz,완료,"141_1.fq.gz,141_2.fq.gz"
KRA2462478,KAE24063512,Public,KAR24063512,paired,/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567252/140_1.fq.gz;/BiO/K-BDS/DATA/DataStation/NGS/INPUT_2567252/140_2.fq.gz,완료,"140_1.fq.gz,140_2.fq.gz"
